Category,Food Name,Calorie (kcal),Carbs (g),Protein (g),Fat (g),Water (g),Ash (g)
水果類,"西洋梨(黃皮)",43.6562,11.7624,0.206,0.074,87.729,0.2286
水果類,"幸水梨",34.1309,9.014,0.403,0.039,90.409,0.135
水果類,"大雪梨",41.9846,11.0903,0.3367,0.1109,88.1017,0.3604
水果類,"新世紀梨",41.5951,10.719,0.368,0.2115,88.3449,0.3566
水果類,"新興梨",44.063,11.8832,0.24,0.057,87.463,0.3568
水果類,"橫山梨",46.5972,12.3734,0.4055,0.0825,86.827,0.3116
水果類,"豐水梨",36.129,9.3887,0.5257,0.0673,89.6673,0.351
水果類,"將軍蜜梨",49.8356,13.3133,0.366,0.081,86.0137,0.226
水果類,"梨山蜜梨",47.0467,12.693,0.289,0.0455,86.6149,0.3576
水果類,"蜜棗平均值(大)",43.2663,10.6935,1.0548,0.1465,87.7052,0.4002
水果類,"蜜棗(長形)",42.8209,10.4163,1.1605,0.17,87.846,0.4072
水果類,"蜜棗(圓形)",43.7118,10.9707,0.949,0.1229,87.5643,0.3931
水果類,"珍珠蜜棗",45.8929,11.6811,1.112,0.0125,86.654,0.5404
水果類,"國產紅棗",87.3003,23.0992,0.908,0.1305,75.118,0.7443
水果類,"紅棗(乾)",227.4004,59.5078,3.173,0.3,35.78,1.2392
水果類,"黑棗(乾)",230.0813,60.9404,2.71,0.19,34.83,1.3296
水果類,"蘋果平均值(青皮)",49.4235,13.044,0.3129,0.169,86.2543,0.22
水果類,"青龍蘋果",52.7381,13.9331,0.295,0.1897,85.3645,0.2177
水果類,"翠玉青蘋果",46.1089,12.1548,0.3307,0.1482,87.144,0.2223
水果類,"翠玉青蘋果(帶皮)",53.7499,14.053,0.371,0.2285,85.05,0.2975
水果類,"美國五爪蘋果",50.6902,13.7783,0.1545,0.068,85.7565,0.2427
水果類,"蘋果平均值(混色)",51.3994,13.8587,0.2123,0.095,85.5864,0.2477
水果類,"加拉蘋果",55.0358,14.9611,0.193,0.063,84.585,0.1979
水果類,"津輕蜜蘋果",56.3442,15.076,0.198,0.1679,84.243,0.3151
水果類,"秋香蘋果",45.3376,12.296,0.265,0.0217,87.204,0.2133
水果類,"富士蘋果",48.8801,13.1017,0.193,0.1273,86.3137,0.2643
水果類,"富士蘋果(帶皮)",44.9081,11.922,0.226,0.1469,87.584,0.1211
水果類,"金冠蘋果",48.7552,12.9688,0.36,0.1025,86.261,0.3077
水果類,"櫻桃",74.9321,19.0748,1.2155,0.2603,78.7675,0.6819
水果類,"白櫻桃",69.3936,18.3941,0.702,0.0975,80.356,0.4504
水果類,"椪柑",40.1505,10.0426,0.804,0.1548,88.715,0.2836
水果類,"紅柑",41.8001,10.5623,0.845,0.1119,88.1983,0.2825
水果類,"茂谷柑",44.3919,11.4914,0.595,0.1223,87.4039,0.3874
水果類,"海梨桶柑",43.8265,11.0184,0.8645,0.15,87.6499,0.3172
水果類,"高牆桶柑",45.1465,11.8211,0.771,0,87.0694,0.3385
水果類,"檸檬柑",48.2649,12.1847,1.108,0.0809,86.148,0.4784
水果類,"砂糖橘",49.8641,12.5916,0.652,0.28,86.05,0.4264
水果類,"長果金柑",55.5443,14.0803,0.96,0.1947,84.3682,0.3968
水果類,"圓果金柑",31.5768,7.56,0.7,0.24,91,0.5
水果類,"圓果金柑汁(綠皮)",32.3401,7.9832,0.891,0.0725,90.596,0.4573
水果類,"文旦",34.4186,8.7691,0.685,0.0655,90.183,0.2974
水果類,"文旦(2023年取樣)",47.8151,12.6765,0.574,0.03,86.38,0.3395
